Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
-0.8387997741445266,-1.1396627344211194,-1.3019761535258991,-0.6321108474188332,1.197191424,0.549812187,-0.8394887772573649,-1.060491463461867,0.763922518,0.988855999,0.958027126,0.913357755,0.007331506,0.003147289,0.834222388,0.998723889,5
-0.827265769627946,-1.010528619363842,-1.3911693661111542,-0.4357583813203137,1.097356461,0.411785251,-0.8241753786728847,-1.041409711693179,0.783968133,0.984985603,0.887033637,0.953860842,0.006978659,0.003563624,0.909850506,0.998430331,5
-0.8052865161833704,-1.0753029286009257,-1.2478073515840138,-0.5867746203154234,1.209712656,0.562727317,-0.8068179597084192,-1.005356514266152,0.778113248,0.989558774,0.947849473,0.908774239,0.007243912,0.003047733,0.825870617,0.999066137,5
-0.7839196877573745,-0.9738939690576228,-1.2742405668555132,-0.44059531478700986,1.153638059,0.498615976,-0.7721701388411272,-0.9706859183374021,0.782681273,0.976695743,0.903936374,0.928328835,0.007016729,0.003214562,0.861794425,0.994198849,5
-0.7794285709544582,-1.0938205194498358,-1.3757498723432617,-0.26828080781707275,1.06079802,0.333679658,-0.7824572578026926,-0.9634447508333935,0.773098035,0.99089325,0.984877069,0.970515523,0.00669701,0.003664972,0.941900381,0.999166059,5
-0.7746992888665387,-1.0249244627526706,-1.2509023940685133,-0.4629334902607064,1.171066849,0.52040066,-0.7763251966627366,-0.9558367034805204,0.775688485,0.989509804,0.943851783,0.923725952,0.007020065,0.003152779,0.853269634,0.999235781,5
-0.7679626136621641,-0.8614238228276595,-1.2685048866859407,-0.40679874504745833,1.146768336,0.489477894,-0.7639270402595469,-0.9450294294474001,0.762401501,0.984081369,0.853079869,0.933373552,0.006924899,0.003242016,0.871186188,0.999048736,5
-0.7665336219521454,-1.0491426399192536,-1.2458188540760693,-0.4356965743957656,1.165590535,0.513759558,-0.7680485895503371,-0.9427414956878235,0.770681818,0.989366875,0.967109244,0.925480392,0.006979152,0.003158285,0.856513956,0.99834456,5
-0.7608857023363566,-1.0214128270635159,-1.2395560108697654,-0.4263748697512916,1.165852108,0.51408086,-0.7614474089789091,-0.933714077914969,0.771561479,0.988435769,0.954239808,0.925658498,0.00695891,0.00315155,0.856843654,0.998952981,5
-0.755816184127004,-1.0388638866487443,-1.1965093283294579,-0.47653423230951036,1.2008339,0.553642225,-0.7589007606366323,-0.9256319279781016,0.783682806,0.990809769,0.97027823,0.91212543,0.007045074,0.00300804,0.8319728,0.999061142,5
-0.7529922243191096,-0.9977349015414186,-1.2392536523843505,-0.39790149575032413,1.157884618,0.504102365,-0.7535393957055232,-0.9211382585418255,0.770805285,0.988395141,0.94625818,0.929038343,0.006907529,0.00317422,0.863112242,0.999384389,5
-0.7470721158061745,-1.0080136548119278,-1.2750766858113283,-0.3116200435101883,1.117664622,0.446621924,-0.7475748772196644,-0.9117373291596245,0.786377317,0.988333651,0.958172836,0.945254305,0.006770006,0.003333984,0.8935057,0.998639711,5
